"","state","date","site","dailycases","note"
"1","Cuba",2020-03-20,"Artemisa",1,"Mariel"
"2","Cuba",2020-03-24,"Artemisa",1,"Mariel"
"3","Cuba",2020-03-28,"Artemisa",1,"Artemisa"
"4","Cuba",2020-03-29,"Artemisa",1,"Guanajay"
"5","Cuba",2020-03-29,"Artemisa",1,"Mariel"
"6","Cuba",2020-03-29,"Artemisa",1,"San Antonio de los Baños"
"7","Cuba",2020-04-01,"Artemisa",1,"Mariel"
"8","Cuba",2020-04-02,"Artemisa",2,"Artemisa"
"9","Cuba",2020-04-02,"Artemisa",1,"Mariel"
"10","Cuba",2020-04-02,"Artemisa",1,"San Antonio de los Baños"
"11","Cuba",2020-04-03,"Artemisa",1,"Artemisa"
"12","Cuba",2020-04-03,"Artemisa",1,"Güira de Melena"
"13","Cuba",2020-04-04,"Artemisa",1,"Bauta"
"14","Cuba",2020-04-04,"Artemisa",1,"San Cristóbal"
"15","Cuba",2020-04-06,"Artemisa",1,"Bauta"
"16","Cuba",2020-04-07,"Artemisa",3,"Bauta"
"17","Cuba",2020-04-07,"Artemisa",1,"Mariel"
"18","Cuba",2020-04-07,"Artemisa",2,"San Cristóbal"
"19","Cuba",2020-04-08,"Artemisa",1,"Bahía Honda"
"20","Cuba",2020-04-08,"Artemisa",1,"Güira de Melena"
"21","Cuba",2020-04-08,"Artemisa",1,"San Antonio de los Baños"
"22","Cuba",2020-04-09,"Artemisa",1,"San Cristóbal"
"23","Cuba",2020-04-14,"Artemisa",1,"Bauta"
"24","Cuba",2020-04-27,"Artemisa",1,"Guanajay"
"25","Cuba",2020-04-27,"Artemisa",1,"Güira de Melena"
"26","Cuba",2020-04-27,"Artemisa",1,"Mariel"
"27","Cuba",2020-04-27,"Artemisa",1,"San Antonio de los Baños"
"28","Cuba",2020-05-06,"Artemisa",1,"Caimito"
"29","Cuba",2020-05-09,"Artemisa",1,"Bauta"
"30","Cuba",2020-05-26,"Artemisa",1,"Bauta"
"31","Cuba",2020-05-28,"Artemisa",4,"Bauta"
"32","Cuba",2020-07-20,"Artemisa",1,"Bauta"
"33","Cuba",2020-07-21,"Artemisa",12,"Bauta"
"34","Cuba",2020-07-23,"Artemisa",1,"Bauta"
"35","Cuba",2020-07-24,"Artemisa",2,"Bauta"
"36","Cuba",2020-07-25,"Artemisa",7,"Bauta"
"37","Cuba",2020-07-26,"Artemisa",10,"Bauta"
"38","Cuba",2020-07-27,"Artemisa",17,"Bauta"
"39","Cuba",2020-07-28,"Artemisa",12,"Bauta"
"40","Cuba",2020-07-28,"Artemisa",1,"Caimito"
"41","Cuba",2020-07-30,"Artemisa",5,"Bauta"
"42","Cuba",2020-07-31,"Artemisa",7,"Bauta"
"43","Cuba",2020-08-01,"Artemisa",1,"San Antonio de los Baños"
"44","Cuba",2020-08-02,"Artemisa",7,"Bauta"
"45","Cuba",2020-08-02,"Artemisa",1,"San Antonio de los Baños"
"46","Cuba",2020-08-02,"Artemisa",1,"San Cristóbal"
"47","Cuba",2020-08-03,"Artemisa",1,"Artemisa"
"48","Cuba",2020-08-03,"Artemisa",5,"Bauta"
"49","Cuba",2020-08-03,"Artemisa",1,"Mariel"
"50","Cuba",2020-08-04,"Artemisa",1,"Artemisa"
"51","Cuba",2020-08-04,"Artemisa",5,"Bauta"
"52","Cuba",2020-08-04,"Artemisa",1,"Caimito"
"53","Cuba",2020-08-04,"Artemisa",1,"Mariel"
"54","Cuba",2020-08-04,"Artemisa",3,"San Antonio de los Baños"
"55","Cuba",2020-08-04,"Artemisa",2,"San Cristóbal"
"56","Cuba",2020-08-05,"Artemisa",4,"Artemisa"
"57","Cuba",2020-08-05,"Artemisa",3,"Bahía Honda"
"58","Cuba",2020-08-05,"Artemisa",1,"Bauta"
"59","Cuba",2020-08-05,"Artemisa",1,"Caimito"
"60","Cuba",2020-08-05,"Artemisa",6,"Mariel"
"61","Cuba",2020-08-05,"Artemisa",4,"San Cristóbal"
"62","Cuba",2020-08-06,"Artemisa",2,"Artemisa"
"63","Cuba",2020-08-06,"Artemisa",1,"Bauta"
"64","Cuba",2020-08-06,"Artemisa",1,"Mariel"
"65","Cuba",2020-08-07,"Artemisa",3,"Mariel"
"66","Cuba",2020-08-07,"Artemisa",1,"San Cristóbal"
"67","Cuba",2020-08-08,"Artemisa",1,"Bahía Honda"
"68","Cuba",2020-08-08,"Artemisa",2,"Bauta"
"69","Cuba",2020-08-08,"Artemisa",2,"Caimito"
"70","Cuba",2020-08-08,"Artemisa",2,"Candelaria"
"71","Cuba",2020-08-08,"Artemisa",6,"Mariel"
"72","Cuba",2020-08-08,"Artemisa",1,"San Antonio de los Baños"
"73","Cuba",2020-08-08,"Artemisa",3,"San Cristóbal"
"74","Cuba",2020-08-09,"Artemisa",2,"Artemisa"
"75","Cuba",2020-08-09,"Artemisa",1,"Bahía Honda"
"76","Cuba",2020-08-09,"Artemisa",1,"Candelaria"
"77","Cuba",2020-08-09,"Artemisa",1,"Guanajay"
"78","Cuba",2020-08-09,"Artemisa",4,"Mariel"
"79","Cuba",2020-08-09,"Artemisa",1,"San Cristóbal"
"80","Cuba",2020-08-10,"Artemisa",1,"Artemisa"
"81","Cuba",2020-08-10,"Artemisa",1,"Caimito"
"82","Cuba",2020-08-10,"Artemisa",2,"Mariel"
"83","Cuba",2020-08-11,"Artemisa",2,"Mariel"
"84","Cuba",2020-08-12,"Artemisa",1,"Bahía Honda"
"85","Cuba",2020-08-12,"Artemisa",3,"Mariel"
"86","Cuba",2020-08-12,"Artemisa",1,"San Antonio de los Baños"
"87","Cuba",2020-08-13,"Artemisa",7,"Artemisa"
"88","Cuba",2020-08-13,"Artemisa",2,"Bahía Honda"
"89","Cuba",2020-08-13,"Artemisa",2,"Bauta"
"90","Cuba",2020-08-13,"Artemisa",1,"Caimito"
"91","Cuba",2020-08-13,"Artemisa",1,"Guanajay"
"92","Cuba",2020-08-13,"Artemisa",5,"Mariel"
"93","Cuba",2020-08-13,"Artemisa",1,"San Antonio de los Baños"
"94","Cuba",2020-08-14,"Artemisa",2,"Artemisa"
"95","Cuba",2020-08-14,"Artemisa",1,"San Cristóbal"
"96","Cuba",2020-08-15,"Artemisa",1,"Mariel"
"97","Cuba",2020-08-16,"Artemisa",1,"Bahía Honda"
"98","Cuba",2020-08-16,"Artemisa",1,"Mariel"
"99","Cuba",2020-08-17,"Artemisa",1,"Alquízar"
"100","Cuba",2020-08-17,"Artemisa",1,"Artemisa"
"101","Cuba",2020-08-17,"Artemisa",4,"Mariel"
"102","Cuba",2020-08-18,"Artemisa",3,"Mariel"
"103","Cuba",2020-08-18,"Artemisa",1,"San Antonio de los Baños"
"104","Cuba",2020-08-18,"Artemisa",1,"San Cristóbal"
"105","Cuba",2020-08-19,"Artemisa",1,"Artemisa"
"106","Cuba",2020-08-19,"Artemisa",1,"Caimito"
"107","Cuba",2020-08-19,"Artemisa",2,"Mariel"
"108","Cuba",2020-08-20,"Artemisa",1,"Alquízar"
"109","Cuba",2020-08-20,"Artemisa",1,"Caimito"
"110","Cuba",2020-08-20,"Artemisa",2,"Mariel"
"111","Cuba",2020-08-20,"Artemisa",1,"San Cristóbal"
"112","Cuba",2020-08-21,"Artemisa",4,"Mariel"
"113","Cuba",2020-08-21,"Artemisa",1,"San Antonio de los Baños"
"114","Cuba",2020-08-22,"Artemisa",1,"Artemisa"
"115","Cuba",2020-08-22,"Artemisa",1,"Caimito"
"116","Cuba",2020-08-22,"Artemisa",1,"San Cristóbal"
"117","Cuba",2020-08-24,"Artemisa",1,"Mariel"
"118","Cuba",2020-08-24,"Artemisa",5,"San Cristóbal"
"119","Cuba",2020-08-25,"Artemisa",1,"Mariel"
"120","Cuba",2020-08-25,"Artemisa",2,"San Cristóbal"
"121","Cuba",2020-08-26,"Artemisa",1,"Alquízar"
"122","Cuba",2020-08-26,"Artemisa",1,"Mariel"
"123","Cuba",2020-08-26,"Artemisa",2,"San Antonio de los Baños"
"124","Cuba",2020-08-26,"Artemisa",1,"San Cristóbal"
"125","Cuba",2020-08-27,"Artemisa",1,"Alquízar"
"126","Cuba",2020-08-27,"Artemisa",1,"Mariel"
"127","Cuba",2020-08-28,"Artemisa",1,"Artemisa"
"128","Cuba",2020-08-28,"Artemisa",1,"Mariel"
"129","Cuba",2020-08-29,"Artemisa",1,"Candelaria"
"130","Cuba",2020-08-29,"Artemisa",1,"Guanajay"
"131","Cuba",2020-08-29,"Artemisa",2,"Mariel"
"132","Cuba",2020-08-29,"Artemisa",3,"San Cristóbal"
"133","Cuba",2020-08-30,"Artemisa",6,"Alquízar"
"134","Cuba",2020-08-30,"Artemisa",1,"Mariel"
"135","Cuba",2020-08-30,"Artemisa",1,"San Antonio de los Baños"
"136","Cuba",2020-08-30,"Artemisa",7,"San Cristóbal"
"137","Cuba",2020-09-01,"Artemisa",2,"Candelaria"
"138","Cuba",2020-09-01,"Artemisa",1,"Mariel"
"139","Cuba",2020-09-01,"Artemisa",4,"San Cristóbal"
"140","Cuba",2020-09-02,"Artemisa",5,"Alquízar"
"141","Cuba",2020-09-02,"Artemisa",1,"Caimito"
"142","Cuba",2020-09-02,"Artemisa",2,"Candelaria"
"143","Cuba",2020-09-02,"Artemisa",1,"Mariel"
"144","Cuba",2020-09-02,"Artemisa",5,"San Cristóbal"
"145","Cuba",2020-09-03,"Artemisa",1,"Artemisa"
"146","Cuba",2020-09-03,"Artemisa",1,"Mariel"
"147","Cuba",2020-09-03,"Artemisa",2,"San Cristóbal"
"148","Cuba",2020-09-04,"Artemisa",3,"Candelaria"
"149","Cuba",2020-09-05,"Artemisa",1,"San Cristóbal"
"150","Cuba",2020-09-06,"Artemisa",1,"Alquízar"
"151","Cuba",2020-09-06,"Artemisa",1,"Candelaria"
"152","Cuba",2020-09-06,"Artemisa",1,"Mariel"
"153","Cuba",2020-09-06,"Artemisa",3,"San Cristóbal"
"154","Cuba",2020-09-07,"Artemisa",1,"Candelaria"
"155","Cuba",2020-09-08,"Artemisa",1,"San Antonio de los Baños"
"156","Cuba",2020-09-09,"Artemisa",1,"Alquízar"
"157","Cuba",2020-09-09,"Artemisa",2,"Artemisa"
"158","Cuba",2020-09-09,"Artemisa",4,"Candelaria"
"159","Cuba",2020-09-09,"Artemisa",3,"San Cristóbal"
"160","Cuba",2020-09-11,"Artemisa",1,"Candelaria"
"161","Cuba",2020-09-11,"Artemisa",1,"San Antonio de los Baños"
"162","Cuba",2020-09-11,"Artemisa",1,"San Cristóbal"
"163","Cuba",2020-09-12,"Artemisa",1,"Candelaria"
"164","Cuba",2020-09-13,"Artemisa",1,"Candelaria"
"165","Cuba",2020-09-13,"Artemisa",1,"San Antonio de los Baños"
"166","Cuba",2020-09-13,"Artemisa",2,"San Cristóbal"
"167","Cuba",2020-09-14,"Artemisa",2,"Candelaria"
"168","Cuba",2020-09-15,"Artemisa",1,"Artemisa"
"169","Cuba",2020-09-15,"Artemisa",1,"Candelaria"
"170","Cuba",2020-09-15,"Artemisa",1,"San Antonio de los Baños"
"171","Cuba",2020-09-15,"Artemisa",1,"San Cristóbal"
"172","Cuba",2020-09-18,"Artemisa",1,"San Cristóbal"
"173","Cuba",2020-09-19,"Artemisa",2,"Caimito"
"174","Cuba",2020-09-19,"Artemisa",1,"San Cristóbal"
"175","Cuba",2020-09-20,"Artemisa",3,"San Cristóbal"
"176","Cuba",2020-09-22,"Artemisa",1,"Caimito"
"177","Cuba",2020-09-23,"Artemisa",1,"San Cristóbal"
"178","Cuba",2020-09-27,"Artemisa",1,"Candelaria"
"179","Cuba",2020-03-17,"Camagüey",1,"Camagüey"
"180","Cuba",2020-03-26,"Camagüey",1,"Camagüey"
"181","Cuba",2020-03-28,"Camagüey",2,"Camagüey"
"182","Cuba",2020-03-28,"Camagüey",1,"Esmeralda"
"183","Cuba",2020-03-28,"Camagüey",1,"Nuevitas"
"184","Cuba",2020-03-28,"Camagüey",1,"Sibanicú"
"185","Cuba",2020-03-28,"Camagüey",1,"Vertientes"
"186","Cuba",2020-03-31,"Camagüey",1,"Camagüey"
"187","Cuba",2020-03-31,"Camagüey",2,"Florida"
"188","Cuba",2020-04-01,"Camagüey",1,"Nuevitas"
"189","Cuba",2020-04-02,"Camagüey",2,"Camagüey"
"190","Cuba",2020-04-05,"Camagüey",1,"Florida"
"191","Cuba",2020-04-06,"Camagüey",3,"Camagüey"
"192","Cuba",2020-04-07,"Camagüey",1,"Esmeralda"
"193","Cuba",2020-04-07,"Camagüey",1,"Florida"
"194","Cuba",2020-04-09,"Camagüey",6,"Camagüey"
"195","Cuba",2020-04-10,"Camagüey",3,"Camagüey"
"196","Cuba",2020-04-12,"Camagüey",1,"Camagüey"
"197","Cuba",2020-04-15,"Camagüey",2,"Camagüey"
"198","Cuba",2020-04-17,"Camagüey",1,"Camagüey"
"199","Cuba",2020-04-19,"Camagüey",1,"Camagüey"
"200","Cuba",2020-04-23,"Camagüey",1,"Nuevitas"
"201","Cuba",2020-04-24,"Camagüey",1,"Camagüey"
"202","Cuba",2020-04-27,"Camagüey",1,"Camagüey"
"203","Cuba",2020-05-04,"Camagüey",1,"Camagüey"
"204","Cuba",2020-05-05,"Camagüey",1,"Nuevitas"
"205","Cuba",2020-05-07,"Camagüey",1,"Camagüey"
"206","Cuba",2020-05-10,"Camagüey",6,"Camagüey"
"207","Cuba",2020-05-10,"Camagüey",1,"Florida"
"208","Cuba",2020-05-15,"Camagüey",1,"Florida"
"209","Cuba",2020-06-13,"Camagüey",1,"Camagüey"
"210","Cuba",2020-07-25,"Camagüey",1,"Camagüey"
"211","Cuba",2020-08-07,"Camagüey",3,NA
"212","Cuba",2020-08-08,"Camagüey",1,"Vertientes"
"213","Cuba",2020-08-14,"Camagüey",1,"Camagüey"
"214","Cuba",2020-08-26,"Camagüey",1,"Florida"
"215","Cuba",2020-08-27,"Camagüey",1,"Camagüey"
"216","Cuba",2020-08-28,"Camagüey",1,"Florida"
"217","Cuba",2020-09-03,"Camagüey",1,"Camagüey"
"218","Cuba",2020-09-03,"Camagüey",1,"Vertientes"
"219","Cuba",2020-09-05,"Camagüey",1,"Camagüey"
"220","Cuba",2020-09-13,"Camagüey",3,"Camagüey"
"221","Cuba",2020-09-14,"Camagüey",1,"Florida"
"222","Cuba",2020-09-14,"Camagüey",1,"Sibanicú"
"223","Cuba",2020-09-14,"Camagüey",1,"Vertientes"
"224","Cuba",2020-09-17,"Camagüey",1,"Camagüey"
"225","Cuba",2020-09-20,"Camagüey",2,"Jimaguayú"
"226","Cuba",2020-09-23,"Camagüey",1,"Florida"
"227","Cuba",2020-03-23,"Ciego de Ávila",1,"Ciego de Ávila"
"228","Cuba",2020-03-24,"Ciego de Ávila",1,"Morón"
"229","Cuba",2020-03-25,"Ciego de Ávila",1,"Morón"
"230","Cuba",2020-03-27,"Ciego de Ávila",2,"Baraguá"
"231","Cuba",2020-03-27,"Ciego de Ávila",2,"Ciego de Ávila"
"232","Cuba",2020-03-27,"Ciego de Ávila",1,"Ciro Redondo"
"233","Cuba",2020-03-27,"Ciego de Ávila",1,"Morón"
"234","Cuba",2020-03-28,"Ciego de Ávila",2,"Ciego de Ávila"
"235","Cuba",2020-03-29,"Ciego de Ávila",1,"Ciego de Ávila"
"236","Cuba",2020-03-29,"Ciego de Ávila",1,"Majagua"
"237","Cuba",2020-03-29,"Ciego de Ávila",1,"Morón"
"238","Cuba",2020-03-29,"Ciego de Ávila",1,"Venezuela"
"239","Cuba",2020-03-30,"Ciego de Ávila",2,"Morón"
"240","Cuba",2020-04-01,"Ciego de Ávila",3,"Venezuela"
"241","Cuba",2020-04-02,"Ciego de Ávila",1,"Baraguá"
"242","Cuba",2020-04-02,"Ciego de Ávila",2,"Ciego de Ávila"
"243","Cuba",2020-04-02,"Ciego de Ávila",1,"Florencia"
"244","Cuba",2020-04-02,"Ciego de Ávila",1,"Majagua"
"245","Cuba",2020-04-02,"Ciego de Ávila",1,"Venezuela"
"246","Cuba",2020-04-05,"Ciego de Ávila",2,"Morón"
"247","Cuba",2020-04-05,"Ciego de Ávila",2,"Venezuela"
"248","Cuba",2020-04-06,"Ciego de Ávila",2,"Baraguá"
"249","Cuba",2020-04-06,"Ciego de Ávila",11,"Florencia"
"250","Cuba",2020-04-06,"Ciego de Ávila",2,"Morón"
"251","Cuba",2020-04-06,"Ciego de Ávila",5,"Venezuela"
"252","Cuba",2020-04-08,"Ciego de Ávila",1,"Florencia"
"253","Cuba",2020-04-08,"Ciego de Ávila",3,"Majagua"
"254","Cuba",2020-04-08,"Ciego de Ávila",2,"Morón"
"255","Cuba",2020-04-09,"Ciego de Ávila",4,"Ciego de Ávila"
"256","Cuba",2020-04-09,"Ciego de Ávila",1,"Florencia"
"257","Cuba",2020-04-09,"Ciego de Ávila",2,"Morón"
"258","Cuba",2020-04-09,"Ciego de Ávila",1,"Venezuela"
"259","Cuba",2020-04-10,"Ciego de Ávila",1,"Venezuela"
"260","Cuba",2020-04-12,"Ciego de Ávila",1,"Morón"
"261","Cuba",2020-04-13,"Ciego de Ávila",1,"Ciego de Ávila"
"262","Cuba",2020-04-13,"Ciego de Ávila",1,"Morón"
"263","Cuba",2020-04-14,"Ciego de Ávila",2,"Ciego de Ávila"
"264","Cuba",2020-04-14,"Ciego de Ávila",1,"Florencia"
"265","Cuba",2020-04-15,"Ciego de Ávila",1,"Florencia"
"266","Cuba",2020-04-18,"Ciego de Ávila",1,"Baraguá"
"267","Cuba",2020-04-18,"Ciego de Ávila",1,"Ciego de Ávila"
"268","Cuba",2020-04-18,"Ciego de Ávila",2,"Venezuela"
"269","Cuba",2020-04-19,"Ciego de Ávila",1,"Venezuela"
"270","Cuba",2020-04-20,"Ciego de Ávila",1,"Bolivia"
"271","Cuba",2020-04-20,"Ciego de Ávila",1,"Chambas"
"272","Cuba",2020-04-20,"Ciego de Ávila",3,"Morón"
"273","Cuba",2020-05-01,"Ciego de Ávila",1,"Ciego de Ávila"
"274","Cuba",2020-05-01,"Ciego de Ávila",1,"Morón"
"275","Cuba",2020-05-05,"Ciego de Ávila",1,"Ciego de Ávila"
"276","Cuba",2020-05-05,"Ciego de Ávila",1,"Morón"
"277","Cuba",2020-05-06,"Ciego de Ávila",1,"Ciego de Ávila"
"278","Cuba",2020-05-07,"Ciego de Ávila",2,"Morón"
"279","Cuba",2020-05-08,"Ciego de Ávila",1,"Venezuela"
"280","Cuba",2020-05-09,"Ciego de Ávila",1,"Ciego de Ávila"
"281","Cuba",2020-05-11,"Ciego de Ávila",1,"Ciego de Ávila"
"282","Cuba",2020-05-12,"Ciego de Ávila",1,"Bolivia"
"283","Cuba",2020-05-22,"Ciego de Ávila",1,"Morón"
"284","Cuba",2020-05-24,"Ciego de Ávila",1,"Morón"
"285","Cuba",2020-05-26,"Ciego de Ávila",1,"Morón"
"286","Cuba",2020-07-25,"Ciego de Ávila",1,"Venezuela"
"287","Cuba",2020-08-03,"Ciego de Ávila",1,"Morón"
"288","Cuba",2020-08-07,"Ciego de Ávila",1,NA
"289","Cuba",2020-08-09,"Ciego de Ávila",1,"Ciego de Ávila"
"290","Cuba",2020-08-09,"Ciego de Ávila",1,"Ciro Redondo"
"291","Cuba",2020-08-14,"Ciego de Ávila",1,"Ciego de Ávila"
"292","Cuba",2020-08-26,"Ciego de Ávila",4,"Venezuela"
"293","Cuba",2020-08-27,"Ciego de Ávila",1,"Ciego de Ávila"
"294","Cuba",2020-08-28,"Ciego de Ávila",1,"Ciego de Ávila"
"295","Cuba",2020-08-28,"Ciego de Ávila",1,"Venezuela"
"296","Cuba",2020-08-30,"Ciego de Ávila",2,"Majagua"
"297","Cuba",2020-09-01,"Ciego de Ávila",4,"Ciego de Ávila"
"298","Cuba",2020-09-01,"Ciego de Ávila",1,"Majagua"
"299","Cuba",2020-09-01,"Ciego de Ávila",1,"Venezuela"
"300","Cuba",2020-09-02,"Ciego de Ávila",5,"Ciego de Ávila"
"301","Cuba",2020-09-03,"Ciego de Ávila",1,"Chambas"
"302","Cuba",2020-09-03,"Ciego de Ávila",1,"Ciego de Ávila"
"303","Cuba",2020-09-03,"Ciego de Ávila",1,"Ciro Redondo"
"304","Cuba",2020-09-03,"Ciego de Ávila",1,"Florencia"
"305","Cuba",2020-09-03,"Ciego de Ávila",3,"Majagua"
"306","Cuba",2020-09-04,"Ciego de Ávila",4,"Ciego de Ávila"
"307","Cuba",2020-09-05,"Ciego de Ávila",1,"Majagua"
"308","Cuba",2020-09-05,"Ciego de Ávila",1,"Morón"
"309","Cuba",2020-09-05,"Ciego de Ávila",2,"Venezuela"
"310","Cuba",2020-09-06,"Ciego de Ávila",16,"Ciego de Ávila"
"311","Cuba",2020-09-07,"Ciego de Ávila",2,"Ciego de Ávila"
"312","Cuba",2020-09-07,"Ciego de Ávila",3,"Majagua"
"313","Cuba",2020-09-07,"Ciego de Ávila",1,"Morón"
"314","Cuba",2020-09-07,"Ciego de Ávila",1,"Venezuela"
"315","Cuba",2020-09-08,"Ciego de Ávila",1,"Baraguá"
"316","Cuba",2020-09-08,"Ciego de Ávila",1,"Bolivia"
"317","Cuba",2020-09-08,"Ciego de Ávila",2,"Chambas"
"318","Cuba",2020-09-08,"Ciego de Ávila",24,"Ciego de Ávila"
"319","Cuba",2020-09-08,"Ciego de Ávila",2,"Ciro Redondo"
"320","Cuba",2020-09-08,"Ciego de Ávila",1,"Florencia"
"321","Cuba",2020-09-08,"Ciego de Ávila",2,"Majagua"
"322","Cuba",2020-09-08,"Ciego de Ávila",3,"Morón"
"323","Cuba",2020-09-08,"Ciego de Ávila",1,"Primero de Enero"
"324","Cuba",2020-09-09,"Ciego de Ávila",19,"Ciego de Ávila"
"325","Cuba",2020-09-09,"Ciego de Ávila",1,"Ciro Redondo"
"326","Cuba",2020-09-09,"Ciego de Ávila",6,"Majagua"
"327","Cuba",2020-09-09,"Ciego de Ávila",1,"Venezuela"
"328","Cuba",2020-09-10,"Ciego de Ávila",3,"Baraguá"
"329","Cuba",2020-09-10,"Ciego de Ávila",8,"Ciego de Ávila"
"330","Cuba",2020-09-10,"Ciego de Ávila",2,"Florencia"
"331","Cuba",2020-09-10,"Ciego de Ávila",2,"Venezuela"
"332","Cuba",2020-09-11,"Ciego de Ávila",2,"Baraguá"
"333","Cuba",2020-09-11,"Ciego de Ávila",1,"Bolivia"
"334","Cuba",2020-09-11,"Ciego de Ávila",21,"Ciego de Ávila"
"335","Cuba",2020-09-11,"Ciego de Ávila",2,"Majagua"
"336","Cuba",2020-09-11,"Ciego de Ávila",2,"Venezuela"
"337","Cuba",2020-09-13,"Ciego de Ávila",5,"Ciego de Ávila"
"338","Cuba",2020-09-13,"Ciego de Ávila",3,"Majagua"
"339","Cuba",2020-09-13,"Ciego de Ávila",1,"Venezuela"
"340","Cuba",2020-09-14,"Ciego de Ávila",18,"Ciego de Ávila"
"341","Cuba",2020-09-14,"Ciego de Ávila",7,"Majagua"
"342","Cuba",2020-09-14,"Ciego de Ávila",4,"Morón"
"343","Cuba",2020-09-14,"Ciego de Ávila",4,"Venezuela"
"344","Cuba",2020-09-15,"Ciego de Ávila",4,"Baraguá"
"345","Cuba",2020-09-15,"Ciego de Ávila",8,"Ciego de Ávila"
"346","Cuba",2020-09-15,"Ciego de Ávila",6,"Morón"
"347","Cuba",2020-09-15,"Ciego de Ávila",1,"Venezuela"
"348","Cuba",2020-09-16,"Ciego de Ávila",1,"Baraguá"
"349","Cuba",2020-09-16,"Ciego de Ávila",1,"Bolivia"
"350","Cuba",2020-09-16,"Ciego de Ávila",17,"Ciego de Ávila"
"351","Cuba",2020-09-16,"Ciego de Ávila",1,"Florencia"
"352","Cuba",2020-09-16,"Ciego de Ávila",5,"Majagua"
"353","Cuba",2020-09-16,"Ciego de Ávila",1,"Morón"
"354","Cuba",2020-09-16,"Ciego de Ávila",9,"Venezuela"
"355","Cuba",2020-09-17,"Ciego de Ávila",18,"Ciego de Ávila"
"356","Cuba",2020-09-17,"Ciego de Ávila",1,"Morón"
"357","Cuba",2020-09-17,"Ciego de Ávila",1,"Venezuela"
"358","Cuba",2020-09-19,"Ciego de Ávila",1,"Bolivia"
"359","Cuba",2020-09-19,"Ciego de Ávila",12,"Ciego de Ávila"
"360","Cuba",2020-09-19,"Ciego de Ávila",2,"Majagua"
"361","Cuba",2020-09-19,"Ciego de Ávila",1,"Morón"
"362","Cuba",2020-09-20,"Ciego de Ávila",1,"Baraguá"
"363","Cuba",2020-09-20,"Ciego de Ávila",4,"Ciego de Ávila"
"364","Cuba",2020-09-21,"Ciego de Ávila",5,"Bolivia"
"365","Cuba",2020-09-21,"Ciego de Ávila",3,"Ciego de Ávila"
"366","Cuba",2020-09-21,"Ciego de Ávila",5,"Majagua"
"367","Cuba",2020-09-22,"Ciego de Ávila",3,"Bolivia"
"368","Cuba",2020-09-22,"Ciego de Ávila",4,"Ciego de Ávila"
"369","Cuba",2020-09-22,"Ciego de Ávila",1,"Ciro Redondo"
"370","Cuba",2020-09-22,"Ciego de Ávila",1,"Morón"
"371","Cuba",2020-09-22,"Ciego de Ávila",2,"Venezuela"
"372","Cuba",2020-09-23,"Ciego de Ávila",1,"Baraguá"
"373","Cuba",2020-09-23,"Ciego de Ávila",22,"Ciego de Ávila"
"374","Cuba",2020-09-24,"Ciego de Ávila",17,"Ciego de Ávila"
"375","Cuba",2020-09-25,"Ciego de Ávila",14,"Ciego de Ávila"
"376","Cuba",2020-09-25,"Ciego de Ávila",1,"Ciro Redondo"
"377","Cuba",2020-09-25,"Ciego de Ávila",1,"Florencia"
"378","Cuba",2020-09-25,"Ciego de Ávila",1,"Majagua"
"379","Cuba",2020-09-25,"Ciego de Ávila",5,"Venezuela"
"380","Cuba",2020-09-26,"Ciego de Ávila",9,"Ciego de Ávila"
"381","Cuba",2020-09-26,"Ciego de Ávila",1,"Morón"
"382","Cuba",2020-09-26,"Ciego de Ávila",2,"Venezuela"
"383","Cuba",2020-09-27,"Ciego de Ávila",1,"Bolivia"
"384","Cuba",2020-09-27,"Ciego de Ávila",4,"Ciego de Ávila"
"385","Cuba",2020-09-27,"Ciego de Ávila",1,"Venezuela"
"386","Cuba",2020-09-28,"Ciego de Ávila",3,"Ciego de Ávila"
"387","Cuba",2020-09-28,"Ciego de Ávila",3,"Morón"
"388","Cuba",2020-09-28,"Ciego de Ávila",1,"Venezuela"
"389","Cuba",2020-09-29,"Ciego de Ávila",1,"Baraguá"
"390","Cuba",2020-09-29,"Ciego de Ávila",37,"Ciego de Ávila"
"391","Cuba",2020-09-29,"Ciego de Ávila",2,"Venezuela"
"392","Cuba",2020-09-30,"Ciego de Ávila",50,"Ciego de Ávila"
"393","Cuba",2020-03-24,"Cienfuegos",1,"Cienfuegos"
"394","Cuba",2020-03-27,"Cienfuegos",1,"Cienfuegos"
"395","Cuba",2020-03-27,"Cienfuegos",1,"Cruces"
"396","Cuba",2020-03-27,"Cienfuegos",1,"Lajas"
"397","Cuba",2020-03-28,"Cienfuegos",1,"Cienfuegos"
"398","Cuba",2020-03-29,"Cienfuegos",2,"Aguada de Pasajeros"
"399","Cuba",2020-03-29,"Cienfuegos",1,"Cumanayagua"
"400","Cuba",2020-04-01,"Cienfuegos",1,"Cienfuegos"
"401","Cuba",2020-04-01,"Cienfuegos",2,"Cumanayagua"
"402","Cuba",2020-04-17,"Cienfuegos",1,"Cienfuegos"
"403","Cuba",2020-04-19,"Cienfuegos",1,"Cienfuegos"
"404","Cuba",2020-04-21,"Cienfuegos",1,"Cienfuegos"
"405","Cuba",2020-04-23,"Cienfuegos",4,"Cienfuegos"
"406","Cuba",2020-04-24,"Cienfuegos",1,"Cienfuegos"
"407","Cuba",2020-04-26,"Cienfuegos",1,"Cienfuegos"
"408","Cuba",2020-04-27,"Cienfuegos",2,"Cienfuegos"
